PO,Vendor,DC,Date,Article,Qty,Header Text
1,20014357,3000,2024-01-07,20075652011,5,
1,20014357,3000,2024-01-07,20075652003,21,
1,20014357,3000,2024-01-07,20075652004,11,
1,20014357,3000,2024-01-07,20075652005,58,
2,20014357,3010,2023-12-17,20075652004,8,
2,20014357,3010,2023-12-17,20075652005,57,
2,20014357,3010,2023-12-17,20075652011,15,
2,20014357,3010,2023-12-17,20075652003,4,
3,20014357,3010,2023-12-24,20075652004,18,
3,20014357,3010,2023-12-24,20075652005,48,
3,20014357,3010,2023-12-24,20075652011,15,
3,20014357,3010,2023-12-24,20075652003,20,
4,20014357,3200,2023-12-10,20075652005,70,
4,20014357,3200,2023-12-10,20075652004,12,
4,20014357,3200,2023-12-10,20075652003,7,
5,20014357,3200,2023-12-17,20075652005,39,
5,20014357,3200,2023-12-17,20075652011,36,
5,20014357,3200,2023-12-17,20075652004,9,
6,20014357,3200,2023-12-24,20075652005,62,
6,20014357,3200,2023-12-24,20075652004,18,
6,20014357,3200,2023-12-24,20075652003,20,
7,20014357,3220,2023-12-31,20075652004,4,
7,20014357,3220,2023-12-31,20075652005,63,
7,20014357,3220,2023-12-31,20075652003,23,
8,20014357,3210,2024-01-07,20075652004,12,
8,20014357,3210,2024-01-07,20075652003,14,
8,20014357,3210,2024-01-07,20075652005,52,
8,20014357,3210,2024-01-07,20075652011,15,
9,20014357,3200,2024-01-07,20075652001,5,
9,20014357,3200,2024-01-07,20075652011,25,
9,20014357,3200,2024-01-07,20075652004,8,
9,20014357,3200,2024-01-07,20075652003,9,
9,20014357,3200,2024-01-07,20075652005,41,
10,20014357,3010,2024-01-07,20075652004,8,
10,20014357,3010,2024-01-07,20075652005,33,
10,20014357,3010,2024-01-07,20075652011,36,
10,20014357,3010,2024-01-07,20075652003,9,
11,20014357,3210,2023-12-10,20075652004,6,
11,20014357,3210,2023-12-10,20075652003,13,
11,20014357,3210,2023-12-10,20075652005,68,
12,20014357,3210,2023-12-17,20075652004,7,
12,20014357,3210,2023-12-17,20075652003,8,
12,20014357,3210,2023-12-17,20075652005,59,
12,20014357,3210,2023-12-17,20075652011,12,
13,20014357,3210,2023-12-24,20075652004,13,
13,20014357,3210,2023-12-24,20075652003,14,
13,20014357,3210,2023-12-24,20075652005,51,
13,20014357,3210,2023-12-24,20075652011,16,
14,20014357,3200,2023-12-10,20075652005,60,
14,20014357,3200,2023-12-10,20075652004,3,
14,20014357,3200,2023-12-10,20075652003,29,
15,20014357,3000,2023-12-31,20075652005,69,
15,20014357,3000,2023-12-31,20075652003,10,
16,20014357,3000,2023-12-17,20075652003,20,
16,20014357,3000,2023-12-17,20075652005,66,
